x,y,mine_type,alien_id
0,0,,
0,1,,
0,2,,
0,3,,
0,4,,
0,5,,
0,6,,
0,7,,
0,8,,
0,9,,
0,10,,
0,11,,
0,12,,
1,0,,
1,1,Gold Mine C,
1,2,,
1,3,,
1,4,,
1,5,,
1,6,,
1,7,,
1,8,,
1,9,,
1,10,,
1,11,,
1,12,Gold Mine B,
2,0,,
2,1,Gold Mine B,
2,2,,
2,3,,
2,4,,
2,5,Gold Mine C,
2,6,,
2,7,,
2,8,,
2,9,,
2,10,,
2,11,,
2,12,,
3,0,Gold Mine A,
3,1,,
3,2,,
3,3,Gold Mine C,
3,4,,
3,5,Gold Mine C,
3,6,Gold Mine B,
3,7,,
3,8,,
3,9,Gold Mine C,
3,10,,
3,11,,
3,12,,
4,0,,
4,1,Gold Mine B,
4,2,Gold Mine C,
4,3,Gold Mine C,
4,4,,3.0
4,5,,
4,6,,
4,7,,
4,8,,
4,9,,
4,10,,6.0
4,11,Gold Mine C,
4,12,Gold Mine C,
5,0,,
5,1,Gold Mine C,
5,2,Gold Mine A,
5,3,,
5,4,Gold Mine A,
5,5,,
5,6,,
5,7,,
5,8,,
5,9,,
5,10,Gold Mine C,
5,11,Gold Mine C,
5,12,Gold Mine B,
6,0,Gold Mine C,
6,1,Gold Mine C,
6,2,Gold Mine A,
6,3,Gold Mine B,
6,4,Gold Mine C,
6,5,,
6,6,,
6,7,,
6,8,Gold Mine C,
6,9,,
6,10,Gold Mine C,
6,11,Gold Mine C,
6,12,Gold Mine C,
7,0,,
7,1,,
7,2,,
7,3,,
7,4,,
7,5,,
7,6,,
7,7,,
7,8,,
7,9,Gold Mine B,
7,10,,
7,11,,
7,12,,
8,0,,1.0
8,1,Gold Mine C,
8,2,Gold Mine C,
8,3,,
8,4,,
8,5,,
8,6,,
8,7,Gold Mine A,
8,8,Gold Mine B,
8,9,Gold Mine C,
8,10,,4.0
8,11,Gold Mine C,
8,12,,
9,0,,
9,1,Gold Mine C,
9,2,Gold Mine C,
9,3,,
9,4,Gold Mine B,
9,5,,
9,6,,
9,7,,
9,8,Gold Mine C,
9,9,Gold Mine C,
9,10,,
9,11,,
9,12,,
10,0,Gold Mine B,
10,1,Gold Mine C,
10,2,,
10,3,,
10,4,,
10,5,Gold Mine B,
10,6,,
10,7,,
10,8,Gold Mine A,
10,9,,
10,10,Gold Mine C,
10,11,Gold Mine C,
10,12,Gold Mine C,
11,0,,
11,1,Gold Mine C,
11,2,,2.0
11,3,,
11,4,,
11,5,Gold Mine A,
11,6,,
11,7,,
11,8,,
11,9,,
11,10,Gold Mine C,
11,11,Gold Mine A,
11,12,,
12,0,Gold Mine C,
12,1,,
12,2,Gold Mine C,
12,3,Gold Mine C,
12,4,Gold Mine B,
12,5,,
12,6,Gold Mine B,
12,7,,
12,8,Gold Mine B,
12,9,,
12,10,Gold Mine C,
12,11,Gold Mine C,
12,12,,5.0
